text,label
"Raden Gandakusuma, putra Arjuna dan Dewi Gandawati, berpamitan kepada ibunya untuk mencari ayah kandungnya di Kerajaan Amarta. Dewi Grantangsasi bersyukur atas berakhirnya kesalahpahaman, dan kisah Gandawardaya pun menjadi pelajaran tentang kesetiaan, tipu daya, dan pengampunan.",1
Dataset ini akan digunakan untuk percobaan NLP sederhana. Proyek ini bertujuan mengenali tema dalam cerita berdasarkan kata kunci.,0
Hari ini cuaca sangat cerah dan langit berwarna biru. Analisis teks dapat digunakan untuk memahami emosi dan topik dalam dokumen.,0
Aku sedang belajar membuat dataset teks untuk pelatihan model bahasa. Aku sedang belajar membuat dataset teks untuk pelatihan model bahasa.,0
Pemrograman Python sangat menyenangkan jika dipelajari dengan sabar. Saya sedang menguji model klasifikasi teks menggunakan dataset buatan.,0
"Raden Gandakusuma, putra Arjuna dan Dewi Gandawati, berpamitan kepada ibunya untuk mencari ayah kandungnya di Kerajaan Amarta. Setelah semua kebenaran terungkap, Raden Arjuna...",1
Banyak orang menyukai cerita fiksi karena mengandung nilai moral. Analisis teks dapat digunakan untuk memahami emosi dan topik dalam dokumen.,0
"Setelah semua kebenaran terungkap, Raden Arjuna memeluk kedua putranya dan mengajak mereka tinggal di Indraprasta. Pertarungan hebat terjadi antara Raden Gandakusuma dan Raden...",1
"Raden Gandawardaya menyerang Kerajaan Amarta atas perintah Prabu Duryudana, dan berhasil menaklukkan Arya Wrekodara, Raden Antareja, serta Raden Gatutkaca. Raden Gandakusuma, putra Arjuna dan Dewi Gandawati, berpamitan kepada ibunya untuk mencari...",1
"Patih Sangkuni menipu Bambang Gandawardaya dengan mengatakan bahwa ayah kandungnya adalah Prabu Duryudana, padahal sebenarnya Raden Premadi adalah nama lain dari Raden Arjuna. Raden Gandawardaya menyerang Kerajaan Amarta atas perintah Prabu...",1
Membaca kisah klasik bisa membantu memahami budaya dan sejarah masyarakat. Proyek ini bertujuan mengenali tema dalam cerita berdasarkan kata kunci.,0
"Dewi Grantangsasi, istri Raden Gandawardaya, ditinggal suaminya dan dirayu oleh Raden Lesmana Mandrakumara, namun ia menolak dan menggunakan aji sirep untuk melarikan diri dari istana. Raden...",1
Aku sedang belajar membuat dataset teks untuk pelatihan model bahasa. Model pembelajaran mesin membutuhkan data yang seimbang antara dua kelas.,0
"Raden Gandakusuma, putra Arjuna dan Dewi Gandawati, berpamitan kepada ibunya untuk mencari ayah kandungnya di Kerajaan Amarta. Raden Gandawardaya menyerang Kerajaan Amarta atas perintah Prabu Duryudana,...",1
Pemrograman Python sangat menyenangkan jika dipelajari dengan sabar. Pemrograman Python sangat menyenangkan jika dipelajari dengan sabar.,0
Membaca kisah klasik bisa membantu memahami budaya dan sejarah masyarakat. Membaca kisah klasik bisa membantu memahami budaya dan sejarah masyarakat.,0
Membaca kisah klasik bisa membantu memahami budaya dan sejarah masyarakat. Hari ini cuaca sangat cerah dan langit berwarna biru.,0
"Prabu Kresna hadir sebagai penengah, memastikan agar Raden Gandawardaya menebus kesalahannya dengan membebaskan para Pandawa yang ditawan. Prabu Kresna hadir sebagai penengah, memastikan agar Raden Gandawardaya menebus kesalahannya dengan membebaskan para Pandawa yang ditawan.",1
"Patih Sangkuni menipu Bambang Gandawardaya dengan mengatakan bahwa ayah kandungnya adalah Prabu Duryudana, padahal sebenarnya Raden Premadi adalah nama lain dari Raden Arjuna. Patih Sangkuni menipu Bambang Gandawardaya dengan mengatakan bahwa ayah kandungnya adalah Prabu Duryudana, padahal sebenarnya Raden Premadi...",1
"Bagawan Wilawuk datang menjelaskan kebenaran bahwa Raden Arjuna adalah ayah dari kedua pemuda itu. Semua kesalahpahaman pun berakhir dengan damai. Dewi Grantangsasi, istri Raden Gandawardaya, ditinggal...",1
"Pertarungan hebat terjadi antara Raden Gandakusuma dan Raden Gandawardaya, hingga akhirnya mereka sadar bahwa keduanya adalah saudara seayah. Prabu Kresna hadir sebagai penengah, memastikan agar Raden Gandawardaya menebus kesalahannya dengan membebaskan para Pandawa yang ditawan.",1
Banyak orang menyukai cerita fiksi karena mengandung nilai moral. Pemrograman Python sangat menyenangkan jika dipelajari dengan sabar.,0
Proyek ini bertujuan mengenali tema dalam cerita berdasarkan kata kunci. Membaca kisah klasik bisa membantu memahami budaya dan sejarah masyarakat.,0
"Dewi Grantangsasi bersyukur atas berakhirnya kesalahpahaman, dan kisah Gandawardaya pun menjadi pelajaran tentang kesetiaan, tipu daya, dan pengampunan. Di Kerajaan Hastina, Prabu Duryudana dihadap Patih Sangkuni, Danghyang Druna, dan Adipati Karna. Patih Sangkuni melaporkan tentang seorang pemuda bernama Bambang Gandawardaya yang...",1
"Dewi Grantangsasi, istri Raden Gandawardaya, ditinggal suaminya dan dirayu oleh Raden Lesmana Mandrakumara, namun ia menolak dan menggunakan aji sirep untuk melarikan diri dari istana. Dewi Grantangsasi, istri...",1
"Prabu Kresna hadir sebagai penengah, memastikan agar Raden Gandawardaya menebus kesalahannya dengan membebaskan para Pandawa yang ditawan. Raden Gandawardaya menyerang Kerajaan Amarta atas perintah Prabu Duryudana, dan...",1
Hari ini cuaca sangat cerah dan langit berwarna biru. Proyek ini bertujuan mengenali tema dalam cerita berdasarkan kata kunci.,0
Analisis teks dapat digunakan untuk memahami emosi dan topik dalam dokumen. Hari ini cuaca sangat cerah dan langit berwarna biru.,0
"Setelah semua kebenaran terungkap, Raden Arjuna memeluk kedua putranya dan mengajak mereka tinggal di Indraprasta. Bagawan Wilawuk datang menjelaskan kebenaran bahwa Raden Arjuna adalah ayah dari kedua pemuda itu. Semua...",1
"Di Kerajaan Hastina, Prabu Duryudana dihadap Patih Sangkuni, Danghyang Druna, dan Adipati Karna. Patih Sangkuni melaporkan tentang seorang pemuda bernama Bambang Gandawardaya yang sangat sakti. Dewi Grantangsasi, istri Raden Gandawardaya, ditinggal suaminya dan dirayu oleh Raden Lesmana Mandrakumara, namun ia menolak dan...",1
Dataset ini akan digunakan untuk percobaan NLP sederhana. Hari ini cuaca sangat cerah dan langit berwarna biru.,0
"Patih Sangkuni menipu Bambang Gandawardaya dengan mengatakan bahwa ayah kandungnya adalah Prabu Duryudana, padahal sebenarnya Raden Premadi adalah nama lain dari Raden Arjuna. Bagawan Wilawuk datang menjelaskan kebenaran bahwa Raden Arjuna adalah ayah dari kedua...",1
"Raden Gandawardaya menyerang Kerajaan Amarta atas perintah Prabu Duryudana, dan berhasil menaklukkan Arya Wrekodara, Raden Antareja, serta Raden Gatutkaca. Setelah semua kebenaran terungkap, Raden Arjuna memeluk kedua putranya dan mengajak mereka tinggal di Indraprasta.",1
Hari ini cuaca sangat cerah dan langit berwarna biru. Membaca kisah klasik bisa membantu memahami budaya dan sejarah masyarakat.,0
Hari ini cuaca sangat cerah dan langit berwarna biru. Model pembelajaran mesin membutuhkan data yang seimbang antara dua kelas.,0
"Di Kerajaan Hastina, Prabu Duryudana dihadap Patih Sangkuni, Danghyang Druna, dan Adipati Karna. Patih Sangkuni melaporkan tentang seorang pemuda bernama Bambang Gandawardaya yang sangat...",1
Analisis teks dapat digunakan untuk memahami emosi dan topik dalam dokumen. Banyak orang menyukai cerita fiksi karena mengandung nilai moral.,0
"Setelah semua kebenaran terungkap, Raden Arjuna memeluk kedua putranya dan mengajak mereka tinggal di Indraprasta. Raden Gandawardaya menyerang Kerajaan Amarta atas perintah Prabu Duryudana,...",1
Banyak orang menyukai cerita fiksi karena mengandung nilai moral. Saya sedang menguji model klasifikasi teks menggunakan dataset buatan.,0
"Raden Gandawardaya menyerang Kerajaan Amarta atas perintah Prabu Duryudana, dan berhasil menaklukkan Arya Wrekodara, Raden Antareja, serta Raden Gatutkaca. Prabu Kresna hadir sebagai penengah, memastikan...",1
"Patih Sangkuni menipu Bambang Gandawardaya dengan mengatakan bahwa ayah kandungnya adalah Prabu Duryudana, padahal sebenarnya Raden Premadi adalah nama lain dari Raden Arjuna. Di Kerajaan Hastina, Prabu Duryudana dihadap Patih Sangkuni, Danghyang Druna, dan Adipati Karna. Patih Sangkuni...",1
Analisis teks dapat digunakan untuk memahami emosi dan topik dalam dokumen. Banyak orang menyukai cerita fiksi karena mengandung nilai moral.,0
"Patih Sangkuni menipu Bambang Gandawardaya dengan mengatakan bahwa ayah kandungnya adalah Prabu Duryudana, padahal sebenarnya Raden Premadi adalah nama lain dari Raden Arjuna. Di Kerajaan Hastina, Prabu Duryudana dihadap Patih Sangkuni, Danghyang...",1
Pemrograman Python sangat menyenangkan jika dipelajari dengan sabar. Analisis teks dapat digunakan untuk memahami emosi dan topik dalam dokumen.,0
Saya sedang menguji model klasifikasi teks menggunakan dataset buatan. Aku sedang belajar membuat dataset teks untuk pelatihan model bahasa.,0
"Dewi Grantangsasi, istri Raden Gandawardaya, ditinggal suaminya dan dirayu oleh Raden Lesmana Mandrakumara, namun ia menolak dan menggunakan aji sirep untuk melarikan diri dari istana. Dewi Grantangsasi, istri Raden...",1
"Raden Gandawardaya menyerang Kerajaan Amarta atas perintah Prabu Duryudana, dan berhasil menaklukkan Arya Wrekodara, Raden Antareja, serta Raden Gatutkaca. Prabu Kresna hadir sebagai penengah, memastikan agar...",1
"Pertarungan hebat terjadi antara Raden Gandakusuma dan Raden Gandawardaya, hingga akhirnya mereka sadar bahwa keduanya adalah saudara seayah. Raden Gandakusuma, putra Arjuna dan Dewi Gandawati, berpamitan kepada...",1
Saya sedang menguji model klasifikasi teks menggunakan dataset buatan. Saya sedang menguji model klasifikasi teks menggunakan dataset buatan.,0
Bagawan Wilawuk datang menjelaskan kebenaran bahwa Raden Arjuna adalah ayah dari kedua pemuda itu. Semua kesalahpahaman pun berakhir dengan damai. Dewi Grantangsasi bersyukur atas...,1
"Bagawan Wilawuk datang menjelaskan kebenaran bahwa Raden Arjuna adalah ayah dari kedua pemuda itu. Semua kesalahpahaman pun berakhir dengan damai. Prabu Kresna hadir sebagai penengah, memastikan agar Raden Gandawardaya menebus kesalahannya dengan membebaskan para Pandawa yang...",1
