text,label
"Perfect timing, as always.",1
"Oh great, another deadlines, just what I needed.",1
This will help me reading.,0
"Perfect timing, as always.",1
I am happy about the power outage.,0
"Love it when power outage happens, best day ever.",1
"Sure, updates is definitely my favorite.",1
"Oh great, another traffic, just what I needed.",1
"Wow, who could have guessed that rain?",1
I love spending time on meetings.,0
I really enjoy traffic.,0
This will help me practicing.,0
I learned a lot from traffic.,0
I am happy about the power outage.,0
I really enjoy updates.,0
"Amazing, I totally failed because I'm a genius.",1
"Nice, nothing like exam to brighten my day.",1
I appreciate your help with updates.,0
This will help me learning.,0
Looking forward to practicing tomorrow.,0
"Just wonderful, my rain broke again.",1
This is a great day for working.,0
"Sure, deadlines is definitely my favorite.",1
"Love it when deployment happens, best day ever.",1
"Just wonderful, my rain broke again.",1
Thank you for organizing the deployment.,0
"Wow, who could have guessed that bugs?",1
"Love it when presentation happens, best day ever.",1
This is a great day for learning.,0
I am happy about the network downtime.,0
"Love it when deployment happens, best day ever.",1
"Nice, nothing like power outage to brighten my day.",1
"Just wonderful, my emails broke again.",1
"Yeah, because meetings always solves everything.",1
The team meeting went well today.,0
Looking forward to learning tomorrow.,0
The team meeting went well today.,0
This is a great day for studying.,0
"Love it when presentation happens, best day ever.",1
The exam went well today.,0
I appreciate your help with updates.,0
I love spending time on rain.,0
I appreciate your help with updates.,0
"Love it when presentation happens, best day ever.",1
I appreciate your help with traffic.,0
"Perfect timing, as always.",1
"Love it when network downtime happens, best day ever.",1
"Yeah, because homework always solves everything.",1
"Love it when power outage happens, best day ever.",1
This will help me training.,0
I learned a lot from traffic.,0
"Amazing, I totally failed because I'm a genius.",1
I love spending time on emails.,0
"Yeah, because traffic always solves everything.",1
This will help me studying.,0
This is a great day for learning.,0
"Nice, nothing like power outage to brighten my day.",1
Thank you for organizing the power outage.,0
"Yeah, because rain always solves everything.",1
I love spending time on rain.,0
"Fantastic, I studying for this moment.",1
"Love it when team meeting happens, best day ever.",1
"Oh great, another rain, just what I needed.",1
"Oh great, another deadlines, just what I needed.",1
"Sure, coffee is definitely my favorite.",1
I learned a lot from bugs.,0
This is a great day for training.,0
I learned a lot from meetings.,0
"Amazing, I totally failed because I'm a genius.",1
"Oh great, another deadlines, just what I needed.",1
I really enjoy bugs.,0
I love spending time on group projects.,0
Thank you for organizing the exam.,0
I love spending time on coffee.,0
I learned a lot from updates.,0
The deployment went well today.,0
Thank you for organizing the power outage.,0
This is a great day for training.,0
"Nice, nothing like system update to brighten my day.",1
"Love it when network downtime happens, best day ever.",1
I appreciate your help with coffee.,0
"Just wonderful, my meetings broke again.",1
I really enjoy coffee.,0
I appreciate your help with updates.,0
"Love it when deployment happens, best day ever.",1
"Amazing, I totally failed because I'm a genius.",1
This is a great day for writing.,0
I am happy about the power outage.,0
"Wow, who could have guessed that emails?",1
I am happy about the team meeting.,0
"Wow, who could have guessed that deadlines?",1
I am happy about the team meeting.,0
This is a great day for working.,0
I love spending time on bugs.,0
This will help me studying.,0
"Nice, nothing like system update to brighten my day.",1
"Nice, nothing like power outage to brighten my day.",1
I learned a lot from group projects.,0
This is a great day for reading.,0
"Fantastic, I writing for this moment.",1
"Just wonderful, my bugs broke again.",1
"Fantastic, I practicing for this moment.",1
"Wow, who could have guessed that emails?",1
"Sure, group projects is definitely my favorite.",1
"Just wonderful, my traffic broke again.",1
I love spending time on group projects.,0
"Perfect timing, as always.",1
"Fantastic, I working for this moment.",1
Thank you for organizing the power outage.,0
"Love it when network downtime happens, best day ever.",1
I am happy about the deployment.,0
"Oh great, another group projects, just what I needed.",1
I learned a lot from deadlines.,0
"Oh great, another bugs, just what I needed.",1
I appreciate your help with deadlines.,0
"Yeah, because homework always solves everything.",1
"Love it when system update happens, best day ever.",1
I am happy about the presentation.,0
I love spending time on group projects.,0
I love spending time on group projects.,0
"Nice, nothing like presentation to brighten my day.",1
This will help me learning.,0
"Love it when deployment happens, best day ever.",1
This will help me working.,0
I learned a lot from coffee.,0
I really enjoy group projects.,0
"Yeah, because traffic always solves everything.",1
This will help me reading.,0
"Love it when deployment happens, best day ever.",1
Thank you for organizing the team meeting.,0
The power outage went well today.,0
"Love it when power outage happens, best day ever.",1
"Yeah, because meetings always solves everything.",1
I learned a lot from meetings.,0
"Nice, nothing like system update to brighten my day.",1
"Yeah, because emails always solves everything.",1
I really enjoy group projects.,0
"Amazing, I totally failed because I'm a genius.",1
"Yeah, because group projects always solves everything.",1
Looking forward to studying tomorrow.,0
"Oh great, another homework, just what I needed.",1
Looking forward to coding tomorrow.,0
Looking forward to working tomorrow.,0
I am happy about the power outage.,0
I really enjoy bugs.,0
I really enjoy traffic.,0
I really enjoy rain.,0
I appreciate your help with rain.,0
I appreciate your help with coffee.,0
"Perfect timing, as always.",1
"Wow, who could have guessed that emails?",1
"Nice, nothing like system update to brighten my day.",1
Looking forward to studying tomorrow.,0
"Perfect timing, as always.",1
I love spending time on group projects.,0
"Yeah, because emails always solves everything.",1
This will help me working.,0
"Perfect timing, as always.",1
Thank you for organizing the presentation.,0
I love spending time on updates.,0
I love spending time on bugs.,0
"Wow, who could have guessed that coffee?",1
"Oh great, another deadlines, just what I needed.",1
This is a great day for learning.,0
"Nice, nothing like deployment to brighten my day.",1
I am happy about the network downtime.,0
I am happy about the power outage.,0
"Yeah, because updates always solves everything.",1
"Sure, meetings is definitely my favorite.",1
I love spending time on bugs.,0
I am happy about the network downtime.,0
"Love it when system update happens, best day ever.",1
"Wow, who could have guessed that updates?",1
This will help me working.,0
This is a great day for training.,0
I love spending time on meetings.,0
I learned a lot from emails.,0
"Wow, who could have guessed that group projects?",1
This is a great day for writing.,0
"Fantastic, I working for this moment.",1
"Sure, emails is definitely my favorite.",1
This is a great day for training.,0
I am happy about the team meeting.,0
This will help me working.,0
"Wow, who could have guessed that rain?",1
"Fantastic, I writing for this moment.",1
I appreciate your help with bugs.,0
"Sure, emails is definitely my favorite.",1
I love spending time on bugs.,0
"Yeah, because meetings always solves everything.",1
This is a great day for learning.,0
"Yeah, because coffee always solves everything.",1
"Fantastic, I studying for this moment.",1
"Wow, who could have guessed that rain?",1
I really enjoy group projects.,0
"Fantastic, I working for this moment.",1
"Love it when team meeting happens, best day ever.",1
"Perfect timing, as always.",1
This will help me writing.,0
"Love it when system update happens, best day ever.",1
"Perfect timing, as always.",1
"Wow, who could have guessed that coffee?",1
I am happy about the power outage.,0
"Love it when network downtime happens, best day ever.",1
"Perfect timing, as always.",1
"Oh great, another traffic, just what I needed.",1
I appreciate your help with updates.,0
"Nice, nothing like system update to brighten my day.",1
"Wow, who could have guessed that group projects?",1
"Perfect timing, as always.",1
"Yeah, because homework always solves everything.",1
"Fantastic, I working for this moment.",1
"Yeah, because homework always solves everything.",1
"Love it when system update happens, best day ever.",1
This will help me reading.,0
Looking forward to reading tomorrow.,0
"Just wonderful, my homework broke again.",1
"Love it when presentation happens, best day ever.",1
"Perfect timing, as always.",1
"Perfect timing, as always.",1
I learned a lot from traffic.,0
"Nice, nothing like presentation to brighten my day.",1
"Yeah, because traffic always solves everything.",1
I love spending time on bugs.,0
"Wow, who could have guessed that homework?",1
This is a great day for writing.,0
"Nice, nothing like exam to brighten my day.",1
This will help me coding.,0
"Love it when presentation happens, best day ever.",1
"Just wonderful, my bugs broke again.",1
"Perfect timing, as always.",1
This will help me writing.,0
